Frame,Time,M Gaze,P1 Gaze,P2 Gaze,M ASR,P1 ASR,P2 ASR,
741,14.82,,,,,,,
742,14.84,,,,,,,
743,14.86,,,,,,,
744,14.88,,,,,,,
745,14.9,,,,,,,
746,14.92,,,,,,,
747,14.94,,,,,,,
748,14.96,,,,,,,
749,14.98,,,,,,,
750,15,,,,,,,
751,15.02,,,,,,,
752,15.04,,,O2,,,,
753,15.06,,,O2,,,,
754,15.08,,,O2,,,,
755,15.1,,,O2,,,,
756,15.12,,,O2,,,,
757,15.14,,,O2,,,,
758,15.16,,,O2,,,,
759,15.18,,,O2,,,,
760,15.2,,,O2,,,,
761,15.22,,,O2,,,,
762,15.24,,,O2,,,,
763,15.26,,,,,,,
764,15.28,,,,,,,
765,15.3,,,,,,,
766,15.32,,,,,,,
767,15.34,,,,,,,
768,15.36,,,,,,,
769,15.38,,,,,,,
770,15.4,,,,,,,
771,15.42,,,,,,,
772,15.44,,,,,,,
773,15.46,,,,,,,
774,15.48,,,,,,,
775,15.5,,,,,,,
776,15.52,,,,,,,
777,15.54,,,,,,,
778,15.56,,,,,,,
779,15.58,,,,,,,
780,15.6,,,,,,,
781,15.62,,,,,,,
782,15.64,,,,,,,
783,15.66,,,,,,,
784,15.68,,,,,,,
785,15.7,,,,,,,
786,15.72,,,,,,,
787,15.74,,,,,,,
788,15.76,,,,,,,
789,15.78,,,,,,,
790,15.8,,,,,,,
791,15.82,,,,,,,
792,15.84,,,,,,,
793,15.86,,,,,,,
794,15.88,,,,,,,
795,15.9,,,,,,,
796,15.92,,,,,,,
797,15.94,,,,,,,
798,15.96,,,,,,,
799,15.98,,,,,,,
800,16,,,,,,,
801,16.02,,,,,,,
802,16.04,,,,,,,
803,16.06,,,,,,,
804,16.08,,,,,,,
805,16.1,,,,,,,
806,16.12,,,,,,,
807,16.14,,,,,,,
808,16.16,,,,,,,
809,16.18,,,,,,,
810,16.2,,,,,,,
811,16.22,,,,,,,
812,16.24,,,,,,,
813,16.26,,,,,,,
814,16.28,,,,,,,
815,16.3,,,,,,,
816,16.32,,,,,,,
817,16.34,,,,,,,
818,16.36,,,,,,,
819,16.38,,,,,,,
820,16.4,,,,,,,
821,16.42,,,,,,,
822,16.44,,,,,,,
823,16.46,,,,,,,
824,16.48,,,,,,,
825,16.5,,,,,,,
826,16.52,,,,,,,
827,16.54,,,,,,,
828,16.56,,,,,,,
829,16.58,,,,,,,
830,16.6,,,,,,,
831,16.62,,,,,,,
832,16.64,,,,,,,
833,16.66,,,,,,,
834,16.68,,,,,,,
835,16.7,,,,,,,
836,16.72,,,,,,,
837,16.74,,,,,,,
838,16.76,,,,,,,
839,16.78,,,,,,,
840,16.8,,,,,,,
841,16.82,,,,,,,
842,16.84,,,,,,,
843,16.86,,,,,,,
844,16.88,,,,,,,
845,16.9,,,,,,,
846,16.92,,,,,,,
847,16.94,,,,,,,
848,16.96,,,,,,,
849,16.98,,,,,,,
850,17,,,,,,,
851,17.02,,,,,,,
852,17.04,,,,,,,
853,17.06,,,,,,,
854,17.08,O8,,,,,,
855,17.1,O8,,,,,,
856,17.12,O8,,,,,,
857,17.14,O8,,,,,,
858,17.16,O8,,,,,,
859,17.18,O8,,,,,,
860,17.2,O8,,,,,,
861,17.22,O8,,,,,,
862,17.24,O8,,,,,,
863,17.26,O8,,,,,,
864,17.28,O8,,,,,,
865,17.3,O8,,,,,,
866,17.32,O8,,,,,,
867,17.34,O8,,,,,,
868,17.36,O8,,,,,,
869,17.38,O8,,,,,,
870,17.4,O8,,,,,,
871,17.42,O8,,,,,,
872,17.44,O8,,,,,,
873,17.46,O8,,,,,,
874,17.48,O8,,,,,,
875,17.5,,,,,,,
876,17.52,,,,,,,
877,17.54,,,,,,,
878,17.56,,,,,,,
879,17.58,,,,,,,
880,17.6,,,,,,,
881,17.62,,,,,,,
882,17.64,,,,,,,
883,17.66,,,,,,,
884,17.68,,,,,,,
885,17.7,,,,,,,
886,17.72,,,,,,,
887,17.74,,,,,,,
